Date,Temperature,Precipitation,Humidity,Sunshine
2007-01-01 00:00:00,55.54444,0.5,74.879456,0.0
2007-01-01 01:00:00,56.17444,0.7,78.361946,0.0
2007-01-01 02:00:00,56.91244,0.6,81.75472,0.0
2007-01-01 03:00:00,56.60644,0.5,83.33311,0.0
2007-01-01 04:00:00,56.012444,0.9,89.276825,0.0
2007-01-01 05:00:00,55.38244,1.3,90.503914,0.0
2007-01-01 06:00:00,54.93244,1.9,90.12385,0.0
2007-01-01 07:00:00,54.60844,2.1,88.32034,0.0
2007-01-01 08:00:00,54.57244,1.2,87.37689,0.0
2007-01-01 09:00:00,54.230442,1.5,86.94849,2.1742423
2007-01-01 10:00:00,53.74444,2.2,87.214096,0.0
2007-01-01 11:00:00,53.276443,1.4,84.06325,15.757578
2007-01-01 12:00:00,52.484444,1.2,80.533646,0.0
2007-01-01 13:00:00,51.31444,0.0,73.68526,5.454544
2007-01-01 14:00:00,49.874443,0.0,68.55195,8.48485
2007-01-01 15:00:00,48.93844,0.0,70.152145,42.424244
2007-01-01 16:00:00,47.67844,0.0,71.81335,43.636364
2007-01-01 17:00:00,46.526443,0.0,73.02007,35.409294
2007-01-01 18:00:00,45.64444,0.0,75.13523,0.0
2007-01-01 19:00:00,44.45644,0.0,77.67802,0.0
2007-01-01 20:00:00,43.01644,0.0,81.223694,0.0
2007-01-01 21:00:00,41.792442,0.0,83.41477,0.0
2007-01-01 22:00:00,42.098442,0.0,84.574646,0.0
2007-01-01 23:00:00,42.83644,0.2,83.61221,0.0
2007-01-02 00:00:00,43.17844,0.9,82.81104,0.0
2007-01-02 01:00:00,42.008442,3.0,85.71895,0.0
2007-01-02 02:00:00,39.66844,2.7,93.423676,0.0
2007-01-02 03:00:00,41.75644,0.9,90.57716,0.0
2007-01-02 04:00:00,41.540443,0.9,88.47334,0.0
2007-01-02 05:00:00,41.37844,0.8,85.31083,0.0
2007-01-02 06:00:00,41.000443,0.4,84.01357,0.0
2007-01-02 07:00:00,41.01844,0.1,81.58145,0.0
2007-01-02 08:00:00,40.83844,0.2,80.45934,0.0
2007-01-02 09:00:00,40.28044,0.0,80.410576,14.824916
2007-01-02 10:00:00,40.74844,0.0,78.38945,26.666664
2007-01-02 11:00:00,40.694443,0.2,76.86834,42.424244
2007-01-02 12:00:00,40.874443,0.1,79.02614,30.90909
2007-01-02 13:00:00,41.14444,0.2,80.48598,23.636362
2007-01-02 14:00:00,40.47844,0.1,84.39749,34.545456
2007-01-02 15:00:00,40.19044,0.4,84.19489,11.515152
2007-01-02 16:00:00,39.326443,0.7,88.72727,5.454544
2007-01-02 17:00:00,38.78644,0.8,89.07965,3.6319873
2007-01-02 18:00:00,37.81444,0.9,91.8248,0.0
2007-01-02 19:00:00,37.13044,0.8,93.731224,0.0
2007-01-02 20:00:00,37.778442,0.4,91.75721,0.0
2007-01-02 21:00:00,38.42644,0.1,92.313835,0.0
2007-01-02 22:00:00,39.27244,0.0,89.74693,0.0
2007-01-02 23:00:00,39.92044,0.0,89.84491,0.0
2007-01-03 00:00:00,39.86644,0.0,89.778,0.0
2007-01-03 01:00:00,39.61444,0.2,89.508545,0.0
2007-01-03 02:00:00,39.416443,0.3,90.20493,0.0
2007-01-03 03:00:00,39.00244,0.2,90.831985,0.0
2007-01-03 04:00:00,39.21844,0.2,90.77744,0.0
2007-01-03 05:00:00,39.25444,0.5,91.560974,0.0
2007-01-03 06:00:00,39.164444,0.1,91.81891,0.0
2007-01-03 07:00:00,39.938442,0.1,91.78745,0.0
2007-01-03 08:00:00,40.62244,0.1,91.68703,0.0
2007-01-03 09:00:00,40.694443,0.1,92.0812,5.681482
2007-01-03 10:00:00,41.25244,0.2,91.00312,3.0303025
2007-01-03 11:00:00,42.026443,0.0,89.38185,19.999998
2007-01-03 12:00:00,43.21444,0.0,87.26565,6.060605
2007-01-03 13:00:00,44.11444,0.1,80.74036,0.0
2007-01-03 14:00:00,44.33044,0.0,77.5556,2.4242413
2007-01-03 15:00:00,44.36644,0.0,77.724754,12.727271
2007-01-03 16:00:00,43.98844,0.0,77.13697,24.848484
2007-01-03 17:00:00,43.19644,0.0,79.23791,6.349495
2007-01-03 18:00:00,42.74644,0.0,79.65139,0.0
2007-01-03 19:00:00,42.35044,0.0,80.93647,0.0
2007-01-03 20:00:00,42.62044,0.0,80.55579,0.0
2007-01-03 21:00:00,42.06244,0.0,81.43452,0.0
2007-01-03 22:00:00,41.63044,0.0,82.63118,0.0
2007-01-03 23:00:00,41.32444,0.0,82.42973,0.0
2007-01-04 00:00:00,41.16244,0.0,81.59339,0.0
2007-01-04 01:00:00,40.49644,0.0,81.06962,0.0
2007-01-04 02:00:00,40.820442,0.0,77.88822,0.0
2007-01-04 03:00:00,41.090443,0.0,75.31047,0.0
2007-01-04 04:00:00,40.514442,0.0,75.57869,0.0
2007-01-04 05:00:00,40.40644,0.0,73.93612,0.0
2007-01-04 06:00:00,40.31644,0.0,71.69413,0.0
2007-01-04 07:00:00,41.23444,0.0,67.62521,0.0
2007-01-04 08:00:00,42.764442,0.0,62.439907,0.0
2007-01-04 09:00:00,44.11444,0.1,57.943684,0.0
2007-01-04 10:00:00,44.276443,0.3,62.423485,2.4242413
2007-01-04 11:00:00,42.90844,1.3,77.863884,0.6060612
2007-01-04 12:00:00,43.14244,0.6,81.81407,0.0
2007-01-04 13:00:00,44.222443,0.1,84.06992,0.0
2007-01-04 14:00:00,44.402443,0.0,87.15324,0.0
2007-01-04 15:00:00,45.48244,0.1,87.33974,0.0
2007-01-04 16:00:00,45.64444,0.2,87.59334,7.878789
2007-01-04 17:00:00,45.84244,0.3,87.84926,11.866666
